sample_id	level	correlation
CB271-4023	gene	0.755695790684747
CK031-4019	gene	0.8096260889975433
CJ231-0160	gene	0.8287618618039914
BA191-2099	gene	0.8074314974611753
AK112-1470	gene	0.6811242651540838
BL161-4149	gene	0.7867959715814895
AK091-4003	gene	0.818253750963931
CB271-4002	gene	0.7620373236614583
BH131-1601	gene	0.7941884570611819
CL141-5415	gene	0.814492915980893
CG041-4023	gene	0.7793138451582485
CB271-4018	gene	0.7497075737283373
AJ221-5032	gene	0.8252794439098564
CC241-4022	gene	0.7691635909587884
AK092-1053	gene	0.8470462083504912
BK161-1392	gene	0.7512081012885816
CK031-4002	gene	0.8256767152358738
BB201-1053	gene	0.8497171419241198
CJ111-0378	gene	0.8344187136855582
AK112-1601	gene	0.8152813154940394
CB271-5032	gene	0.7591315683083564
AJ221-1584	gene	0.7874035321565156
BL261-0262	gene	0.7858520689366773
AJ221-4149	gene	0.7616606555458059
CB271-0262	gene	0.7813717800694883
AJ221-4003	gene	0.8094352949686004
AK112-4019	gene	0.8282394514356115
CC131-3082	gene	0.8040572210749236
BB201-4149	gene	0.7670250900704738
CJ151-6145	gene	0.7497043870951855
AL271-1856	gene	0.8196317405102657
BA232-0378	gene	0.8565502981303804
BB201-1856	gene	0.7930771748691865
CC311-4002	gene	0.8319362298016341
CG041-4018	gene	0.7573909791833198
CL111-6145	gene	0.791094179760936
CH081-1053	gene	0.8062997833067657
CC241-4003	gene	0.7773272729502098
CG071-4002	gene	0.7540195965555725
CF242-0087	gene	0.8074007790728159
BK281-1236	gene	0.8038647037827927
CI301-4018	gene	0.7537004638262048
CK031-4023	gene	0.766612261203455
BH131-4003	gene	0.7814370403872706
CJ231-0378	gene	0.8463162503497283
BB201-1601	gene	0.746145746154397
BL021-5032	gene	0.7636479637507193
CB261-0087	gene	0.7896728296566722
BF221-3082	gene	0.8335962727063873
CI161-5415	gene	0.816351501378296
CJ093-0160	gene	0.8170090350533479
CC241-4002	gene	0.8070753576223196
CL111-1584	gene	0.6383725538956743
CJ091-5415	gene	0.7393480889930613
AK112-4002	gene	0.8266952516623602
BC161-1856	gene	0.7781008820353605
CG071-6145	gene	0.7080149831863156
AJ221-4023	gene	0.7889602737965461
BL151-0262	gene	0.7961326259947629
CA231-0087	gene	0.8002185674766679
CI201-5415	gene	0.7798078071827572
BC181-1392	gene	0.714280046506881
BB201-5032	gene	0.7715645081522599
CJ092-4023	gene	0.8082745382724872
AJ231-1236	gene	0.8262074787463097
AK231-1710	gene	0.8134675420033937
BK281-0087	gene	0.808082817385615
AK091-1584	gene	0.799627487263267
BK071-4150	gene	0.8024842292104881
AJ231-0087	gene	0.8308539719916642
CK031-1470	gene	0.7649115004654803
CL171-1584	gene	0.8124440303286956
CI222-5415	gene	0.7856913094560678
BL221-0262	gene	0.6879314596664615
BB202-0378	gene	0.8579336069105364
CC241-5032	gene	0.7668994932577182
BC181-3082	gene	0.8276540315800938
AJ231-2099	gene	0.8424507895953204
BL151-1236	gene	0.7981987534604027
CK031-1584	gene	0.7757189835973859
BK071-4149	gene	0.7631804262588088
CL161-5415	gene	0.8018985678382194
CI201-1236	gene	0.784005210458392
