group	group_label	group_color	transcript_type	transcript_label	sample_size	mean_detection_ratio	incremental_detection_ratio
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	6	0.8784462122073978	0.042126917477218306
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	7	0.9139600036936388	0.03551379148624101
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	8	0.9460192555561612	0.03205925186252234
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	9	0.974851338403666	0.028832082847504825
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	10	1.0	0.025148661596334
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	1	0.3131672507497953	0.3131672507497953
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	2	0.4685823431578524	0.15541509240805712
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	3	0.5797395000712737	0.11115715691342132
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	4	0.6684022662821678	0.08866276621089408
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	5	0.7427080999515214	0.07430583366935362
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	6	0.8064163310560626	0.06370823110454116
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	7	0.861003301921916	0.0545869708658534
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	8	0.9113619988941514	0.050358696972235384
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	9	0.9583317847197734	0.04696978582562206
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	novel	Novel	10	1.0	0.04166821528022657
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	1	0.509997844776703	0.509997844776703
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	2	0.6480318161525455	0.1380339713758425
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	3	0.7334908617331718	0.08545904558062634
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	4	0.7956707135746208	0.06217985184144903
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	5	0.8441131412524627	0.048442427677841904
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	6	0.8847984774022061	0.040685336149743345
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	7	0.9199513397777892	0.03515286237558313
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	8	0.9496648345502854	0.029713494772496185
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	9	0.9762602615556152	0.026595427005329797
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	known	Annotated	10	1.0	0.023739738444384817
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	1	0.3395457033974182	0.3395457033974182
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	2	0.4954660074067302	0.155920304009312
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	3	0.6049519961063682	0.10948598869963799
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	4	0.690232501850213	0.08528050574384483
Heart_Mitral_Valve	Heart mitral valve	#BA91BC	novel	Novel	5	0.7601358858928225	0.06990338404260954
