sample	MDS1	MDS2	Tissue	Tissue_Color_Code	batch
GTOP-BA251-0160-LN-16UM	5.57308649905261	-13.3499327552339	Adipose	E59525	Z250930175
GTOP-BA251-2099-LN-BR3Z	-8.00309533900492	-6.29471495399866	Adrenal_Gland	A8D650	Z240428323
GTOP-BB201-1053-LN-92UR	-58.1133054383394	28.7171795766287	Liver	69AE6A	Z240428323
GTOP-BB201-1710-LN-Q6TK	15.6220251011329	-6.25272476350206	Esophagus	AF8C5C	Z240428323
GTOP-BB201-1856-LN-UG64	-10.2028798720057	-0.040449715045063	Gallbladder	8F8495	Z240428323
GTOP-BB201-4019-LN-VE59	68.9710579896137	17.9752344637913	Heart_Left_Atrium	6F1F71	Z250930175
GTOP-BB201-4023-LN-H45B	12.4789340000259	2.67107616955368	Heart_Tricuspid_Valve	9F98BF	Z250930175
GTOP-BB201-4149-LN-Q923	9.81315641582847	0.352888656263039	Thoracic_Aorta	7e888e	Z250930175
GTOP-BB201-4155-LN-8S6G	19.3709386114875	-8.28329333983271	Aortic_Arch	758E90	Z250930175
GTOP-BB202-0378-LN-H8XA	-35.7253588260567	-102.189432099072	Whole_Blood	CC418D	Z240428323
GTOP-BB202-5032-LN-T1QE	-16.7046243757697	-9.22306173318061	Lung_Base	AECBD1	Z250930175
GTOP-BC041-0262-LN-UJ3Y	0.570165311366802	-12.1154577692234	Skin	3A71A4	Z240428323
GTOP-BC041-3082-LN-8XV4	-20.1361907848105	-47.5506927437763	Spleen	768454	Z240428323
GTOP-BC161-0160-LN-VX6S	8.47498769548135	-18.2604104004543	Adipose	E59525	Z250930175
GTOP-BC161-1856-LN-37VJ	-21.5802872249436	0.473051168918049	Gallbladder	8F8495	Z250930175
GTOP-BC181-0087-LN-3WV6	70.7003497629574	27.4647859874794	Muscle	7080BD	Z240428323
GTOP-BC181-0262-LN-17PY	-5.08371089196723	-13.6710968694035	Skin	3A71A4	Z240428323
GTOP-BC181-1053-LN-CZW9	-69.9730237315991	40.6670624194173	Liver	69AE6A	Z250930175
GTOP-BC181-1236-LN-9LNR	-62.7163233903959	45.626683781531	Pancreas_Body	902222	Z240428323
GTOP-BC181-1392-LN-1PDY	-76.7947927984237	64.0239336452771	Pancreas_Tail	E59276	Z250930175
GTOP-BC181-2099-LN-HJV7	-4.46835283433306	-4.26592557364167	Adrenal_Gland	A8D650	Z250930175
GTOP-BC181-3082-LN-1IS0	-17.0473267602842	-43.4659861137976	Spleen	768454	Z240428323
GTOP-BD201-0087-LN-P2HK	77.2615916331143	26.1549637684911	Muscle	7080BD	Z240428323
GTOP-BE141-1856-LN-Q7KY	-17.9235102603473	-7.23495884536425	Gallbladder	8F8495	Z250930175
GTOP-BE161-1710-LN-OIX3	6.44853959983374	-15.8785905814427	Esophagus	AF8C5C	Z250930175
GTOP-BE161-5302-LN-LB1J	-28.7558971212752	-5.59414676005448	Trachea	D285A5	Z250930175
GTOP-BF221-0378-LN-2ZKY	-26.2271394685989	-94.0479800607374	Whole_Blood	CC418D	Z251003024
GTOP-BG091-0160-LN-W0FO	12.3435822752528	-15.4498382280422	Adipose	E59525	Z250930175
GTOP-BG171-0378-LN-TDV5	-31.268077422868	-105.894796057258	Whole_Blood	CC418D	Z251003024
GTOP-BH131-0378-LN-B2X4	-33.1046482656366	-104.627789415594	Whole_Blood	CC418D	Z251003024
GTOP-BH131-1236-LN-92CN	-67.345738889371	62.9621344864948	Pancreas_Body	902222	Z250930175
GTOP-BH131-1710-LN-MU4U	17.3116754166124	-3.94385454684127	Esophagus	AF8C5C	Z250930175
GTOP-BH131-4003-LN-47C3	52.2637239283097	9.62369919940676	Heart_Right_Ventricle	A780A0	Z250930175
GTOP-BH131-4022-LN-9Q3Z	18.4198606649583	-12.6686575636638	Heart_Mitral_Valve	BA91BC	Z250930175
GTOP-BI071-1236-LN-VP1Q	-66.2565160626856	67.9842108203219	Pancreas_Body	902222	Z250930175
GTOP-BI071-1856-LN-G4Q2	-14.7199015128694	0.670450526289167	Gallbladder	8F8495	Z250930175
GTOP-BJ141-0087-LN-AN51	68.8188503582598	38.4018191288168	Muscle	7080BD	Z250930175
GTOP-BJ191-0378-LN-Q4AK	-35.3436534657159	-103.682754570565	Whole_Blood	CC418D	Z251003024
GTOP-BJ191-1108-LN-05NQ	-75.8561885293865	71.5212879993078	Pancreas_Head	AB5F2C	Z250930175
GTOP-BK021-0087-LN-4OPT	71.2081381967972	36.3867465248589	Muscle	7080BD	Z250930175
GTOP-BK021-1053-LN-9F7U	-69.295148220388	45.5201408368845	Liver	69AE6A	Z250930175
GTOP-BK071-1392-LN-O0SI	-69.0379713798921	67.7716784703759	Pancreas_Tail	E59276	Z250930175
GTOP-BK071-1856-LN-XW9B	-18.983498072914	-2.57177038430227	Gallbladder	8F8495	Z250930175
GTOP-BK071-4149-LN-P2RE	1.14142060555953	-4.44430788812938	Thoracic_Aorta	7e888e	Z250930175
GTOP-BK071-4150-LN-5E9V	16.920267486708	-13.4896461500691	Common_Iliac_Artery	d0d1e6	Z250930175
GTOP-BK161-1236-LN-7MWK	-60.3880453925306	43.7004724095316	Pancreas_Body	902222	Z250930175
GTOP-BK281-0087-LN-IZ7C	81.8038470872261	33.5358387734092	Muscle	7080BD	Z251003024
GTOP-BK281-4018-LN-RA61	46.2588927987138	15.697957542673	Heart_Right_Atrium	8466A6	Z251003024
GTOP-BL021-0378-LN-RZ42	-31.7364241991941	-95.1050777877648	Whole_Blood	CC418D	Z251003024
GTOP-BL021-2099-LN-XW9E	-10.1046800772687	9.54942517581379	Adrenal_Gland	A8D650	Z251003024
GTOP-BL221-0262-LN-TM7S	8.66578430674065	-17.1998130494487	Skin	3A71A4	Z251003024
GTOP-BL261-0262-LN-13G8	5.92237271697062	-7.19085116136578	Skin	3A71A4	Z251003024
GTOP-BL261-3170-LN-P4JY	-16.8090738621346	-38.2320537066983	Lymph_node	ACAA95	Z251003024
GTOP-CA081-1392-LN-20Q9	-64.6361421759522	59.5151998195057	Pancreas_Tail	E59276	Z251003024
GTOP-CA081-1856-LN-41EC	-19.6240882976818	-13.5576163750443	Gallbladder	8F8495	Z251005010
GTOP-CA081-3170-LN-VK0A	-18.8049108825557	-35.3458522304952	Lymph_node	ACAA95	Z251003024
GTOP-CA081-4003-LN-1N1H	49.5889903595481	14.1527604558886	Heart_Right_Ventricle	A780A0	Z251003024
GTOP-CA121-0160-LN-C66H	8.71469021995123	-6.49909459196184	Adipose	E59525	Z251003024
GTOP-CB151-1236-LN-G4VH	-66.776097966084	63.0237157015	Pancreas_Body	902222	Z251003024
GTOP-CB161-1392-LN-I067	-65.1803897809209	67.8336762965441	Pancreas_Tail	E59276	Z251003024
GTOP-CB261-0087-LN-SU2D	72.1870678223104	28.8722297402095	Muscle	7080BD	Z251003024
GTOP-CB271-0087-LN-ZOE7	88.694232469362	35.3731843109199	Muscle	7080BD	Z251003024
