gene	gene_id	module_MEnumber	module_Color
112806	ENST00000844607.1	ME2	blue
112807	ENST00000844651.1	ME2	blue
112808	ENST00000844653.1	ME2	blue
112809	ENST00000844662.1	ME2	blue
112810	ENST00000844678.1	ME2	blue
112812	ENST00000844735.1	ME2	blue
112813	ENST00000844738.1	ME2	blue
112814	ENST00000844743.1	ME2	blue
112815	ENST00000844756.1	ME2	blue
112816	ENST00000844765.1	ME2	blue
112817	ENST00000844770.1	ME2	blue
112819	ENST00000844778.1	ME2	blue
112820	ENST00000844788.1	ME2	blue
112821	ENST00000844805.1	ME2	blue
112822	ENST00000844807.1	ME2	blue
112823	ENST00000844810.1	ME2	blue
112824	ENST00000844812.1	ME2	blue
112825	ENST00000844814.1	ME2	blue
112826	ENST00000844817.1	ME2	blue
112828	ENST00000844850.1	ME1	turquoise
112830	ENST00000844893.1	ME1	turquoise
112832	ENST00000844910.1	ME3	brown
112833	ENST00000844919.1	ME2	blue
112834	ENST00000844948.1	ME1	turquoise
112835	ENST00000844976.1	ME2	blue
112836	ENST00000844992.1	ME2	blue
112837	ENST00000845002.1	ME1	turquoise
112838	ENST00000845062.1	ME1	turquoise
112839	ENST00000845063.1	ME1	turquoise
112842	ENST00000845071.1	ME1	turquoise
112844	ENST00000845073.1	ME3	brown
112846	ENST00000845080.1	ME1	turquoise
112847	ENST00000845123.1	ME2	blue
112848	ENST00000845126.1	ME2	blue
112849	ENST00000845154.1	ME1	turquoise
112851	ENST00000845177.1	ME2	blue
112853	ENST00000845187.1	ME1	turquoise
112857	ENST00000845210.1	ME2	blue
112858	ENST00000845216.1	ME2	blue
112859	ENST00000845219.1	ME2	blue
112860	ENST00000845222.1	ME2	blue
112861	ENST00000845229.1	ME2	blue
112862	ENST00000845236.1	ME1	turquoise
112863	ENST00000845239.1	ME2	blue
112864	ENST00000845256.1	ME2	blue
112866	ENST00000845266.1	ME1	turquoise
112867	ENST00000845267.1	ME2	blue
112869	ENST00000845272.1	ME2	blue
112870	ENST00000845274.1	ME2	blue
112872	ENST00000845276.1	ME2	blue
112875	ENST00000845303.1	ME1	turquoise
112876	ENST00000845325.1	ME1	turquoise
112878	ENST00000845328.1	ME1	turquoise
112879	ENST00000845336.1	ME1	turquoise
112880	ENST00000845337.1	ME1	turquoise
112881	ENST00000845343.1	ME1	turquoise
112882	ENST00000845344.1	ME1	turquoise
112883	ENST00000845346.1	ME1	turquoise
112884	ENST00000845347.1	ME1	turquoise
112885	ENST00000845349.1	ME1	turquoise
112886	ENST00000845353.1	ME1	turquoise
112887	ENST00000845358.1	ME1	turquoise
112889	ENST00000845361.1	ME1	turquoise
112890	ENST00000845362.1	ME2	blue
112891	ENST00000845363.1	ME1	turquoise
112892	ENST00000845364.1	ME1	turquoise
112893	ENST00000845366.1	ME1	turquoise
112894	ENST00000845369.1	ME1	turquoise
112897	ENST00000845377.1	ME1	turquoise
